Country Name,Country Code,Series Name,Series Code,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Greece,GRC,"Population, total",SP.POP.TOTL,10862132,10902022,10928070,10955141,10987314,11020362,11048473,11077841,11107017,11121341,11104899,11045011,10965211,10892413,10820883,10775971,10754679,10727668,10696000,10665000,10634000
Greenland,GRL,"Population, total",SP.POP.TOTL,56350,56609,56765,56911,56935,56774,56555,56328,56323,56905,56890,56810,56483,56295,56114,56186,56171,56025,..,..,..
Grenada,GRD,"Population, total",SP.POP.TOTL,103249,103634,104005,104347,104661,104933,105190,105456,105789,106233,106796,107446,108170,108902,109599,110261,110874,111454,112000,113000,113000
Guam,GUM,"Population, total",SP.POP.TOTL,156401,157176,157717,158101,158402,158648,158847,159036,159226,159444,159692,159996,160407,161016,161853,162951,164281,165768,167000,169000,170000
Guatemala,GTM,"Population, total",SP.POP.TOTL,11924946,12208848,12500478,12796925,13096028,13397021,13700327,14006428,14316263,14630417,14948803,15270778,15595821,15923243,16252429,16583060,16914936,17247807,17581000,17916000,18250000
Guinea,GIN,"Population, total",SP.POP.TOTL,8417081,8586074,8753093,8925743,9109581,9307425,9518162,9738792,9964469,10192176,10420471,10652029,10892810,11150977,11432088,11738441,12067539,12414318,12771000,13133000,13497000
Guinea-Bissau,GNB,"Population, total",SP.POP.TOTL,1227106,1254453,1283305,1313492,1344930,1377581,1411543,1446936,1483921,1522599,1562989,1604979,1648257,1692439,1737202,1782437,1828146,1874309,1921000,1968000,2015000
Guyana,GUY,"Population, total",SP.POP.TOTL,745206,744789,745143,745737,746163,746343,746474,746817,747718,749436,752028,755399,759285,763380,767432,771366,775221,779004,783000,787000,790000
Haiti,HTI,"Population, total",SP.POP.TOTL,8608819,8754150,8900104,9047077,9195288,9344785,9495328,9646580,9798046,9949322,10100320,10250930,10400673,10549008,10695542,10839970,10982366,11123176,11263000,11403000,11542000
Honduras,HND,"Population, total",SP.POP.TOTL,6751912,6929265,7106319,7282953,7458985,7634298,7808518,7980955,8150775,8317470,8480671,8640691,8798521,8955589,9112916,9270795,9429013,9587522,9746000,9905000,10063000
"Hong Kong SAR, China",HKG,"Population, total",SP.POP.TOTL,6714300,6744100,6730800,6783500,6813200,6857100,6916300,6957800,6972800,7024200,7071600,7150100,7178900,7229500,7291300,7336600,7391700,7451000,7508000,7564000,7620000
Hungary,HUN,"Population, total",SP.POP.TOTL,10187576,10158608,10129552,10107146,10087065,10071370,10055780,10038188,10022650,10000023,9971727,9920362,9893082,9866468,9843028,9814023,9787966,9768785,9732000,9695000,9657000
Iceland,ISL,"Population, total",SP.POP.TOTL,284968,287523,289521,292074,296734,303782,311566,317414,318499,318041,319014,320716,323764,327386,330815,335439,343400,353574,356000,359000,361000
India,IND,"Population, total",SP.POP.TOTL,1075000085,1093317189,1111523144,1129623456,1147609927,1165486291,1183209472,1200669765,1217726215,1234281170,1250288729,1265782790,1280846129,1295604184,1310152403,1324509589,1338658835,1352617328,1366418000,1380004000,1393409000
Indonesia,IDN,"Population, total",SP.POP.TOTL,214427417,217357793,220309469,223285676,226289470,229318262,232374245,235469762,238620563,241834215,245116206,248452413,251806402,255129004,258383256,261554226,264645886,267663435,270626000,273524000,276362000
"Iran, Islamic Rep.",IRN,"Population, total",SP.POP.TOTL,66449112,67284796,68122938,68951281,69762347,70554760,71336475,72120604,72924837,73762519,74634956,75539862,76481943,77465753,78492215,79564016,80673951,81800269,82914000,83993000,85029000
Iraq,IRQ,"Population, total",SP.POP.TOTL,24208180,24931919,25644499,26313838,26922284,27448124,27911248,28385746,28973162,29741976,30725300,31890011,33157050,34411951,35572261,36610632,37552781,38433600,39310000,40222000,41179000
Ireland,IRL,"Population, total",SP.POP.TOTL,3866243,3931947,3996521,4070262,4159914,4273591,4398942,4489544,4535375,4560155,4580084,4599533,4623816,4657740,4701957,4755335,4807388,4853506,4893000,4933000,4970000
Isle of Man,IMN,"Population, total",SP.POP.TOTL,77703,78318,78884,79520,80305,81285,82408,83508,84376,84857,84886,84533,83976,83488,83234,83287,83598,84077,85000,85000,85000
Israel,ISR,"Population, total",SP.POP.TOTL,6439000,6570000,6689700,6809000,6930100,7053700,7180100,7308800,7485600,7623600,7765800,7910500,8059500,8215700,8380100,8546000,8713300,8883800,9018000,9152000,9286000
